iter	Passed	Remaining
0	39	7771
1	75	7485
2	107	7051
3	138	6769
4	168	6586
5	198	6412
6	228	6311
7	262	6290
8	302	6425
9	344	6551
10	392	6738
11	429	6721
12	466	6715
13	501	6669
14	544	6714
15	586	6749
16	623	6707
17	665	6725
18	704	6713
19	750	6755
20	796	6790
21	834	6752
22	870	6699
23	904	6631
24	940	6586
25	974	6519
26	1007	6454
27	1038	6378
28	1069	6305
29	1101	6241
30	1134	6186
31	1171	6148
32	1209	6121
33	1259	6148
34	1309	6171
35	1354	6168
36	1403	6181
37	1454	6198
38	1494	6169
39	1527	6108
40	1559	6049
41	1597	6009
42	1638	5980
43	1670	5921
44	1706	5877
45	1739	5822
46	1773	5773
47	1807	5724
48	1842	5677
49	1873	5620
50	1911	5584
51	1951	5554
52	1986	5510
53	2024	5473
54	2062	5436
55	2097	5394
56	2133	5352
57	2165	5300
58	2199	5256
59	2230	5204
60	2262	5156
61	2296	5111
62	2327	5061
63	2358	5011
64	2390	4965
65	2429	4932
66	2463	4889
67	2500	4853
68	2535	4813
69	2568	4769
70	2603	4729
71	2636	4687
72	2669	4644
73	2704	4604
74	2739	4565
75	2772	4523
76	2805	4481
77	2840	4443
78	2873	4401
79	2904	4356
80	2938	4316
81	2971	4276
82	3002	4232
83	3033	4189
84	3064	4146
85	3095	4103
86	3127	4061
87	3159	4021
88	3193	3983
89	3229	3947
90	3266	3912
91	3299	3873
92	3333	3835
93	3367	3797
94	3405	3763
95	3440	3727
96	3479	3694
97	3515	3659
98	3551	3622
99	3583	3583
100	3617	3545
101	3652	3509
102	3691	3476
103	3725	3439
104	3760	3402
105	3794	3365
106	3825	3324
107	3857	3285
108	3893	3250
109	3928	3214
110	3960	3175
111	3993	3137
112	4027	3100
113	4060	3063
114	4092	3025
115	4124	2986
116	4156	2948
117	4186	2909
118	4219	2872
119	4252	2835
120	4284	2797
121	4315	2759
122	4345	2720
123	4379	2684
124	4408	2645
125	4436	2605
126	4465	2566
127	4498	2530
128	4531	2493
129	4567	2459
130	4604	2425
131	4640	2390
132	4678	2356
133	4723	2326
134	4762	2293
135	4797	2257
136	4830	2221
137	4865	2186
138	4904	2152
139	4939	2116
140	4973	2080
141	5007	2045
142	5048	2012
143	5083	1976
144	5124	1943
145	5163	1909
146	5201	1875
147	5245	1843
148	5288	1810
149	5327	1775
150	5366	1741
151	5404	1706
152	5442	1671
153	5482	1637
154	5522	1603
155	5559	1568
156	5596	1532
157	5628	1496
158	5659	1459
159	5690	1422
160	5725	1386
161	5760	1351
162	5794	1315
163	5829	1279
164	5867	1244
165	5905	1209
166	5938	1173
167	5972	1137
168	6007	1101
169	6036	1065
170	6068	1029
171	6099	992
172	6133	957
173	6164	921
174	6197	885
175	6235	850
176	6278	815
177	6313	780
178	6354	745
179	6398	710
180	6440	676
181	6479	640
182	6518	605
183	6553	569
184	6585	533
185	6628	498
186	6663	463
187	6698	427
188	6728	391
189	6765	356
190	6801	320
191	6831	284
192	6862	248
193	6897	213
194	6926	177
195	6958	142
196	6986	106
197	7018	70
198	7051	35
199	7083	0
